DYE886R   0 1.52978   4.6   38.8
DYE886R   1 1.22028   5.1   38.8
DYE886R   2 1.02308   5.6   38.8
DYE886R   3 0.884408   6.2   38.8
DYE886R   4 0.749325   6.9   38.8
DYE886R   5 0.648223   7.2   38.8
DYE886R   6 0.551877   7.5   38.8
DYE886R   7 0.471793   7.8   38.8
DYE886R   8 0.414373   8.2   38.8
DYE886R   9 0.355011   8.7   38.8
DYE886R   10 0.291841   9.5   38.8
DYE886R   11 0.246466   10.3   38.8
DYE886R   12 0.207075   11.1   38.8
DYE886R   13 0.112389   12   38.8
DYE886R   14 0.0688835   12.9   38.8
